Nombre,Categoría,Calificación,Número de Opiniones,Dirección,Latitud,Longitud,Imagen
Bogesca,salad / sandwiches,4.8,"5,000+","Fray Justo Sierra 9108, Tijuana, BCN 22046",32.4911,-117.0231,https://tb-static.uber.com/prod/image-proc/processed_images/70e2e53c1f375aa6374499f05d613f4e/f7e27f77a1abfdaa9fab9b4ae7dab7cb.jpeg
Caffenio Agua Caliente,americana,4.8,"1,500+","Boulevard Agua Caliente 10132, Tijuana, LATAM 22015",32.5138421,-117.0059723,https://tb-static.uber.com/prod/image-proc/processed_images/53e1081edf917875dd0815be5486e778/7835428b286acb57646a256c897c0e9e.jpeg
Al Forno Pizzería  Deli,italiana,4.7,"1,000+","Calle Alba Roja 14153, Adentro De Plaza Punta Prima, Tijuana, LATAM 22194",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/67baa9c38921efd15a3a259fc6cca0b5/a70f5c9df440d10213e93244e9eb7cad.jpeg
Sukiyaki Macroplaza,asiática,4.6,"5,000+","Av De Los Insurgentes 18015, Rio Tijuana 3ra Etapa, Baja California 22217",32.5192305,-116.9899914,https://tb-static.uber.com/prod/image-proc/processed_images/3c6efeee11a0e4a1d852ffd87adc0716/69ad85cd7b39888042b3bbf1c22d630d.jpeg
Carls Jr Otay,americana,4.6,"6,000+","Boulevard Industrial 134, Tijuana, LATAM 22427",32.5323026,-116.9469898,https://tb-static.uber.com/prod/image-proc/processed_images/a507cb44fd8442442ed5e27751c9a403/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Little Caesars Paseo Reforma Tijuana,italiana,4.7,"3,000+","Av. Paseo Reforma 16481, Reforma, 22180 Tijuana, B.C., ",32.4748184,-116.9472152,https://tb-static.uber.com/prod/image-proc/processed_images/db4fc6017030a42fd6b5b7b7a5519b9d/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Kasa Café  Otay,desayuno,4.7,"5,000+","Calzada Tecnológico 14527 Int. 7 Y 8 Otay Universidad., Tijuana, Baja California 22427",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/e9bfbf74c513a1f8a662b638f2b67604/f8403c421bef668ad381b5e82e546060.jpeg
La Postal Teriyaki  Sushi Suc Cacho,japonesa,4.8,600+,"Brasil 201, Col. Madero (Cacho), Tijuana, LATAM 22150",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/4874ea95c4bd980b71df74fb70db69c5/891233042e9ada9873fc6d9c4e835eac.jpeg
Café de la Flor Macroplaza,cafetería,4.6,"10,000+","Blvd. Insurgentes 18015 – 7, Tijuana, Baja California 22217",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/14e64ddabb600c6b99a49b87940085b3/f8403c421bef668ad381b5e82e546060.jpeg
Baja Poke Otay,hawaiana,4.8,"2,000+","Parque Internacional Industrial Tijuana, Tijuana, B.C., México, Interior 3e, 22427",38.0137,-77.1802,https://tb-static.uber.com/prod/image-proc/processed_images/b70faccbc601c5a081ab4e99bf540448/f8403c421bef668ad381b5e82e546060.jpeg
Little Caesars Papalote,italiana,4.7,"10,000+","Av De Los Insurgentes 16902, Lago Sur, 22226 Tijuana, B.C., México, B.C. 22217",31.8856,-116.4323,https://tb-static.uber.com/prod/image-proc/processed_images/db4fc6017030a42fd6b5b7b7a5519b9d/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Pizza  Love Hipodromo,italiana,4.7,"6,000+","Av. De Las Americas Ote. 5216, Lomas De Agua Caliente, 22024 Tijuana, B.C., Mexico, 22195",14.88333,-88.81667,https://tb-static.uber.com/prod/image-proc/processed_images/b16d63d29e299250d15a7fd889ecfd0c/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Brothers Cold Brew,americana,4.8,"1,000+","Calle Magnolias 4117 Fraccionamiento Del Prado, Tijuana, LATAM 22105",32.0022,-116.633,https://tb-static.uber.com/prod/image-proc/processed_images/498b2413d267c3cc29eb30480297bdd9/9b3aae4cf90f897799a5ed357d60e09d.jpeg
CAFFENIO  Buena Vista,cafetería,4.8,"8,000+","22415 Calle, Vía Rápida Ote. #13660, Buena Vista, Chamizal, 22415 Tijuana, B.C., Mexico, 22415",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/53e1081edf917875dd0815be5486e778/7835428b286acb57646a256c897c0e9e.jpeg
CAFFENIO  Elías Calles,cafetería,4.8,"10,000+","Calle 11 #9045 Esquina Calle Andres Quintana Roo, Col. Zona Este, Cp 22000, Tijuana Baja California., Baja California 22000",16.5,-92.5,https://tb-static.uber.com/prod/image-proc/processed_images/53e1081edf917875dd0815be5486e778/7835428b286acb57646a256c897c0e9e.jpeg
Burger Crib Altabrisa,americana,4.8,"2,000+","Retorno De, Las Flores 15370, Altabrisa, 22420 Tijuana, B.C., Mexico, B.C. 22420",31.9688,-115.53,https://tb-static.uber.com/prod/image-proc/processed_images/7398d97a5d838a8576a645abd4e3fc52/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Little Caesars Pajarita,italiana,4.7,"10,000+","Calle Oriente 7002, Tijuana, 22667",32.4308835,-117.038182,https://tb-static.uber.com/prod/image-proc/processed_images/db4fc6017030a42fd6b5b7b7a5519b9d/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Hornero Restaurante  Tijuana  Mexico,italiana,4.7,"1,500+","Blvd Salinas 10556-8, Tijuana, Aviacion 22014",32.5419,-116.6361,https://tb-static.uber.com/prod/image-proc/processed_images/18760b3dad5d04962fb60c05269effa8/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Hornero Express  Sucursal Cacho ,italiana,4.7,"2,000+","Av. Jalisco 2511 Int 4. Colonia Cacho, Tijuana, Baja California 22040",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/e82d6e9cb889aef12c9b8872d4082829/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Restaurante Bella Cristal Tijuana,asiática,4.6,"10,000+","Calle Alba Roja 13038, Hipodromo Dos, Tijuana, Baja California 22190",30.8595,-116.0833,https://tb-static.uber.com/prod/image-proc/processed_images/1841f0a6cbca0acd2ac941583be2ea64/9b3aae4cf90f897799a5ed357d60e09d.jpeg
CAFFENIO Via Poniente,americana,4.7,"2,000+","Calle Via Poniente 10411, Tijuana, LATAM 22010",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/53e1081edf917875dd0815be5486e778/7835428b286acb57646a256c897c0e9e.jpeg
CAFFENIO Paseo del Lago,cafetería,4.8,"4,000+","Caffenio Paseo De Lago, Tijuana, B.C. 22210",32.1895,-115.9708,https://tb-static.uber.com/prod/image-proc/processed_images/53e1081edf917875dd0815be5486e778/7835428b286acb57646a256c897c0e9e.jpeg
Caccio Pizza  Rotisserie  Sucursal Cacho,italiana,4.6,"1,000+","Gobernador Lugo 2911, Tijuana, Baja California 22055",32.5168022,-117.0173295,https://tb-static.uber.com/prod/image-proc/processed_images/055ce1640bb590db5620f0856c8df276/f8403c421bef668ad381b5e82e546060.jpeg
Café de la Flor Playas Restaurante,americana,4.6,340+,"Paseo Ensenada #502, Playas De Tijuana, LATAM 22504",32.5305931,-117.1160651,https://tb-static.uber.com/prod/image-proc/processed_images/14e64ddabb600c6b99a49b87940085b3/f8403c421bef668ad381b5e82e546060.jpeg
Blue Luna Villafloresta,desayuno,4.7,"1,000+","Boulevard Gustavo Díaz Ordaz 150, Tijuana, BC 22127",32.4782787,-116.9367145,https://tb-static.uber.com/prod/image-proc/processed_images/493024b946c6ea39f6262508463087ff/f8403c421bef668ad381b5e82e546060.jpeg
Super Salads Plaza Alameda Otay,americana,4.6,"10,000+","Lázaro Cárdenas 16000, La Pechuga, Otay Constituyentes, Tijuana, B.C., Mexico, L-21B, 22425",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/2213ee91640d7f74a136e45b02d1369b/7835428b286acb57646a256c897c0e9e.jpeg
42 Sabores  Zona Centro,repostería,4.6,"10,000+","Ave Revolucion #1137 Zona Centro Cp 22,000 Entre Calle 5ta Y  6ta, Tijuana, Baja California 22000",40.683,16.13273,https://tb-static.uber.com/prod/image-proc/processed_images/89406a74e09bae674e2ab08b21c55375/69ad85cd7b39888042b3bbf1c22d630d.jpeg
Little Caesars Pacífico,italiana,4.7,"10,000+","Libramiento Rosas Magallón Pad S/N Centro Comercial Pacífico, Tijuana, Baja California 22644",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/db4fc6017030a42fd6b5b7b7a5519b9d/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
La Postal Teriyaki  Sushi Suc Torres,asiática,4.5,"6,000+","Blvd. Agua Caliente 4601, Aviacion, Tijuana, Baja California 22014",32.5123285,-117.0021079,https://tb-static.uber.com/prod/image-proc/processed_images/4874ea95c4bd980b71df74fb70db69c5/891233042e9ada9873fc6d9c4e835eac.jpeg
Cenaduria Doña Patty,mexicana,4.8,"1,500+","Av. Ermita Sur 5091, Tijuana, Baja California 22106",32.5004942,-116.9791134,https://tb-static.uber.com/prod/image-proc/processed_images/20607906807c42ae8ddc38f53cbac2ea/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Carls Jr Universidad,americana,4.5,"3,000+","Calzada Tecnológico 14487, Tijuana, LATAM 22427",32.5297381,-116.9714651,https://tb-static.uber.com/prod/image-proc/processed_images/a507cb44fd8442442ed5e27751c9a403/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Umai Sushi,asiática,4.7,800+,"P.º Del Pedregal 460-9, Playas, Jardines Playas De Tijuana, 22504 Tijuana, B.C., ",32.5097083,-117.1215684,https://tb-static.uber.com/prod/image-proc/processed_images/e77355cc5740cee60f7f335c428b8462/a70f5c9df440d10213e93244e9eb7cad.jpeg
Lemon Poke  Plaza Paloma,hawaiana,4.7,420+,"Av.Rio Colorado , Tijuana, BC 22015",31.7007,-116.3597,https://tb-static.uber.com/prod/image-proc/processed_images/e4abbecfef72d8989a6b2f93f958c982/61e8d264e9409914f90881b13f54d0ac.jpeg
Carls Jr Siglo XXI,mexicana,4.5,"4,000+","Blvd. Gustavo Díaz Ordaz No. 3189, Tijuana, LATAM 22116",32.2063,-115.9304,https://tb-static.uber.com/prod/image-proc/processed_images/a507cb44fd8442442ed5e27751c9a403/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Alma Verde Cacho,ensaladas,4.7,900+,"Brasil 8930, Tijuana, LATAM 22040",32.6167,-115.0833,https://tb-static.uber.com/prod/image-proc/processed_images/5a38ad5a21fd71ab0a29911749950831/f8403c421bef668ad381b5e82e546060.jpeg
Café de la Flor Pacifico,cafetería,4.6,"10,000+","Libramiento Oriente 7521 M1, Plaza Pacífico Parque Industrial Pacífico ., Tijuana, Baja California 22643",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/14e64ddabb600c6b99a49b87940085b3/f8403c421bef668ad381b5e82e546060.jpeg
Tacos y Tortas Tío Pepe,mexicana,4.7,"6,000+","Gobernador García González 9925, Cubillas, Tijuana, B.C., Mexico, B.C. 22045",30.7472,-116.0031,https://tb-static.uber.com/prod/image-proc/processed_images/7135c669398a0a1edbb4314795cc4cbe/69ad85cd7b39888042b3bbf1c22d630d.jpeg
Bol Corona Torres,mexicana,4.5,"4,000+","Boulevard Agua Caliente 3251, Tijuana, 22014, Bc, Mx, BC 22014",38.8292,-77.6864,https://tb-static.uber.com/prod/image-proc/processed_images/3441a604d84f32759c8cc74965186450/f8403c421bef668ad381b5e82e546060.jpeg
Little Caesars Cedros 1,italiana,4.7,"7,000+","Colonia El Rosario 27, Tijuana, Baja California 22664",32.4617,-116.8713,https://tb-static.uber.com/prod/image-proc/processed_images/db4fc6017030a42fd6b5b7b7a5519b9d/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
